Forecast #,Forecast Issue Date,1week,2week
1,8/28/2023,135,144
2,9/4/2023,123,145
3,9/11/2023,90,80
4,9/18/2023,85,85
5,9/25/2023,62,65
6,10/2/2023,,
7,10/9/2023,78,72
8,10/16/2023,78,87
9,10/23/2023,118,148
10,10/30/2023,97,105
11,11/6/2023,132,128
12,11/13/2023,155,155
13,11/20/2023,182,185
14,11/27/2023,190,193
