Forecast #,Forecast Issue Date,1week,2week
1,8/28/2023,157.9914,169.6256
2,9/4/2023,,
3,9/11/2023,128,118
4,9/18/2023,110,107
5,9/25/2023,120.84,110.57
6,10/2/2023,,
7,10/9/2023,,
8,10/16/2023,,
9,10/23/2023,,
10,10/30/2023,96.25,80,
11,11/6/2023,129,90
12,11/13/2023,,
13,11/20/2023,,
14,11/27/2023,,
