Forecast #,Forecast Issue Date,1week,2week
1,8/28/23,85.61,80.43
2,2009/4/23,78.41,64.28
3,2009/11/23,75.14,88.26
4,9/18/23,105.97,97.9
5,9/25/23,97.67,115
6,2010/2/23,,
7,2010/9/23,77.79,88.95
8,10/16/23,89.325,101.44
9,10/23/23,104.02,123.13
10,10/30/23,,
11,2011/6/23,,
12,11/13/23,,
13,11/20/23,,
14,11/27/23,,
